gdbfieldname,Rfieldname,acsfieldname,type,glossaryfieldname,formula,acsfieldnamelong,universe
B_PRMP_P2,bin.EJ.PCT.proximity.rmp.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
B_PRMP_P6,bin.EJ.PCT.proximity.rmp.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
B_PTSDF_D2,bin.EJ.DISPARITY.proximity.tsdf.eo,NA,EJ,Map color bin for EJ Index for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
B_PTSDF_D6,bin.EJ.DISPARITY.proximity.tsdf.svi6,NA,EJ,Map color bin for EJ Index for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
B_PTSDF_B2,bin.EJ.BURDEN.proximity.tsdf.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
B_PTSDF_B6,bin.EJ.BURDEN.proximity.tsdf.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
B_PTSDF_P2,bin.EJ.PCT.proximity.tsdf.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
B_PTSDF_P6,bin.EJ.PCT.proximity.tsdf.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
B_OZONE_D2,bin.EJ.DISPARITY.o3.eo,NA,EJ,Map color bin for EJ Index for Ozone level in air,NA,NA,NA
B_OZONE_D6,bin.EJ.DISPARITY.o3.svi6,NA,EJ,Map color bin for EJ Index for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
B_OZONE_B2,bin.EJ.BURDEN.o3.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for Ozone level in air,NA,NA,NA
B_OZONE_B6,bin.EJ.BURDEN.o3.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
B_OZONE_P2,bin.EJ.PCT.o3.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for Ozone level in air,NA,NA,NA
B_OZONE_P6,bin.EJ.PCT.o3.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
B_PM25_D2,bin.EJ.DISPARITY.pm.eo,NA,EJ,Map color bin for EJ Index for PM2.5 level in air,NA,NA,NA
B_PM25_D6,bin.EJ.DISPARITY.pm.svi6,NA,EJ,Map color bin for EJ Index for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
B_PM25_B2,bin.EJ.BURDEN.pm.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for PM2.5 level in air,NA,NA,NA
B_PM25_B6,bin.EJ.BURDEN.pm.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
B_PM25_P2,bin.EJ.PCT.pm.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for PM2.5 level in air,NA,NA,NA
B_PM25_P6,bin.EJ.PCT.pm.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
Shape_Leng,Shape_Leng,NA,Geographic,Shape_Length,NA,NA,NA
Shape_Area,area,NA,Geographic,area,NA,NA,NA
T_MINORPCT,pctile.text.pctmin,NA,Demographic,Map popup text for % minority,NA,NA,NA
T_LWINCPCT,pctile.text.pctlowinc,NA,Demographic,Map popup text for % low-income,NA,NA,NA
T_LESHSPCT,pctile.text.pctlths,NA,Demographic Supplementary,Map popup text for % less than high school,NA,NA,NA
T_LNGISPCT,pctile.text.pctlingiso,NA,Demographic Supplementary,Map popup text for % of households (interpreted as individuals) in linguistic isolation,NA,NA,NA
T_UNDR5PCT,pctile.text.pctunder5,NA,Demographic Supplementary,Map popup text for % under age 5,NA,NA,NA
T_OVR64PCT,pctile.text.pctover64,NA,Demographic Supplementary,Map popup text for % over age 64,NA,NA,NA
T_VULEOPCT,pctile.text.VSI.eo,NA,Demographic,"Map popup text for Demographic Index (based on 2 factors, % low-income and % minority)",NA,NA,NA
T_VSVI6PCT,pctile.text.VSI.svi6,NA,Demographic Supplementary,Map popup text for Supplementary Demographic Index (based on 6 factors),NA,NA,NA
T_LDPNT,pctile.text.pctpre1960,NA,Environmental,Map popup text for % pre-1960 housing (lead paint indicator),NA,NA,NA
T_LDPNT_D2,pctile.text.EJ.DISPARITY.pctpre1960.eo,NA,EJ,Map popup text for EJ Index for % pre-1960 housing (lead paint indicator),NA,NA,NA
T_LDPNT_D6,pctile.text.EJ.DISPARITY.pctpre1960.svi6,NA,EJ,Map popup text for EJ Index for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
T_LDPNT_B2,pctile.text.EJ.BURDEN.pctpre1960.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for % pre-1960 housing (lead paint indicator),NA,NA,NA
T_LDPNT_B6,pctile.text.EJ.BURDEN.pctpre1960.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
T_LDPNT_P2,pctile.text.EJ.PCT.pctpre1960.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for % pre-1960 housing (lead paint indicator),NA,NA,NA
T_LDPNT_P6,pctile.text.EJ.PCT.pctpre1960.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
T_DSLPM,pctile.text.dpm,NA,Environmental,Map popup text for Diesel particulate matter level in air,NA,NA,NA
T_DSLPM_D2,pctile.text.EJ.DISPARITY.dpm.eo,NA,EJ,Map popup text for EJ Index for Diesel particulate matter level in air,NA,NA,NA
T_DSLPM_D6,pctile.text.EJ.DISPARITY.dpm.svi6,NA,EJ,Map popup text for EJ Index for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
T_DSLPM_B2,pctile.text.EJ.BURDEN.dpm.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for Diesel particulate matter level in air,NA,NA,NA
T_DSLPM_B6,pctile.text.EJ.BURDEN.dpm.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
T_DSLPM_P2,pctile.text.EJ.PCT.dpm.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for Diesel particulate matter level in air,NA,NA,NA
T_DSLPM_P6,pctile.text.EJ.PCT.dpm.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
T_CANCR,pctile.text.cancer,NA,Environmental,Map popup text for Air toxics cancer risk,NA,NA,NA
T_CANCR_D2,pctile.text.EJ.DISPARITY.cancer.eo,NA,EJ,Map popup text for EJ Index for Air toxics cancer risk,NA,NA,NA
T_CANCR_D6,pctile.text.EJ.DISPARITY.cancer.svi6,NA,EJ,Map popup text for EJ Index for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
T_CANCR_B2,pctile.text.EJ.BURDEN.cancer.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for Air toxics cancer risk,NA,NA,NA
T_CANCR_B6,pctile.text.EJ.BURDEN.cancer.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
T_CANCR_P2,pctile.text.EJ.PCT.cancer.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for Air toxics cancer risk,NA,NA,NA
T_CANCR_P6,pctile.text.EJ.PCT.cancer.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
T_RESP,pctile.text.resp,NA,Environmental,Map popup text for Air toxics respiratory hazard index,NA,NA,NA
T_RESP_D2,pctile.text.EJ.DISPARITY.resp.eo,NA,EJ,Map popup text for EJ Index for Air toxics respiratory hazard index,NA,NA,NA
T_RESP_D6,pctile.text.EJ.DISPARITY.resp.svi6,NA,EJ,Map popup text for EJ Index for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
T_RESP_B2,pctile.text.EJ.BURDEN.resp.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for Air toxics respiratory hazard index,NA,NA,NA
T_RESP_B6,pctile.text.EJ.BURDEN.resp.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
T_RESP_P2,pctile.text.EJ.PCT.resp.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for Air toxics respiratory hazard index,NA,NA,NA
T_RESP_P6,pctile.text.EJ.PCT.resp.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
T_NEURO,pctile.text.neuro,NA,Environmental,Map popup text for Air toxics neurological hazard index,NA,NA,NA
T_NEURO_D2,pctile.text.EJ.DISPARITY.neuro.eo,NA,EJ,Map popup text for EJ Index for Air toxics neurological hazard index,NA,NA,NA
T_NEURO_D6,pctile.text.EJ.DISPARITY.neuro.svi6,NA,EJ,Map popup text for EJ Index for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
T_NEURO_B2,pctile.text.EJ.BURDEN.neuro.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for Air toxics neurological hazard index,NA,NA,NA
T_NEURO_B6,pctile.text.EJ.BURDEN.neuro.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
T_NEURO_P2,pctile.text.EJ.PCT.neuro.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for Air toxics neurological hazard index,NA,NA,NA
T_NEURO_P6,pctile.text.EJ.PCT.neuro.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
T_PTRAF,pctile.text.traffic.score,NA,Environmental,Map popup text for Traffic proximity and volume,NA,NA,NA
T_PTRAF_D2,pctile.text.EJ.DISPARITY.traffic.score.eo,NA,EJ,Map popup text for EJ Index for Traffic proximity and volume,NA,NA,NA
T_PTRAF_D6,pctile.text.EJ.DISPARITY.traffic.score.svi6,NA,EJ,Map popup text for EJ Index for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
T_PTRAF_B2,pctile.text.EJ.BURDEN.traffic.score.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for Traffic proximity and volume,NA,NA,NA
T_PTRAF_B6,pctile.text.EJ.BURDEN.traffic.score.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
T_PTRAF_P2,pctile.text.EJ.PCT.traffic.score.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for Traffic proximity and volume,NA,NA,NA
T_PTRAF_P6,pctile.text.EJ.PCT.traffic.score.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
T_PWDIS,pctile.text.proximity.npdes,NA,Environmental,Map popup text for Proximity to major direct dischargers to water,NA,NA,NA
T_PWDIS_D2,pctile.text.EJ.DISPARITY.proximity.npdes.eo,NA,EJ,Map popup text for EJ Index for Proximity to major direct dischargers to water,NA,NA,NA
T_PWDIS_D6,pctile.text.EJ.DISPARITY.proximity.npdes.svi6,NA,EJ,Map popup text for EJ Index for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
T_PWDIS_B2,pctile.text.EJ.BURDEN.proximity.npdes.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for Proximity to major direct dischargers to water,NA,NA,NA
T_PWDIS_B6,pctile.text.EJ.BURDEN.proximity.npdes.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
T_PWDIS_P2,pctile.text.EJ.PCT.proximity.npdes.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for Proximity to major direct dischargers to water,NA,NA,NA
T_PWDIS_P6,pctile.text.EJ.PCT.proximity.npdes.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
T_PNPL,pctile.text.proximity.npl,NA,Environmental,Map popup text for Proximity to National Priorities List (NPL) sites,NA,NA,NA
T_PNPL_D2,pctile.text.EJ.DISPARITY.proximity.npl.eo,NA,EJ,Map popup text for EJ Index for Proximity to National Priorities List (NPL) sites,NA,NA,NA
T_PNPL_D6,pctile.text.EJ.DISPARITY.proximity.npl.svi6,NA,EJ,Map popup text for EJ Index for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
T_PNPL_B2,pctile.text.EJ.BURDEN.proximity.npl.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for Proximity to National Priorities List (NPL) sites,NA,NA,NA
T_PNPL_B6,pctile.text.EJ.BURDEN.proximity.npl.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
T_PNPL_P2,pctile.text.EJ.PCT.proximity.npl.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for Proximity to National Priorities List (NPL) sites,NA,NA,NA
T_PNPL_P6,pctile.text.EJ.PCT.proximity.npl.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
T_PRMP,pctile.text.proximity.rmp,NA,Environmental,Map popup text for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
T_PRMP_D2,pctile.text.EJ.DISPARITY.proximity.rmp.eo,NA,EJ,Map popup text for EJ Index for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
T_PRMP_D6,pctile.text.EJ.DISPARITY.proximity.rmp.svi6,NA,EJ,Map popup text for EJ Index for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
T_PRMP_B2,pctile.text.EJ.BURDEN.proximity.rmp.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
T_PRMP_B6,pctile.text.EJ.BURDEN.proximity.rmp.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
T_PRMP_P2,pctile.text.EJ.PCT.proximity.rmp.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
T_PRMP_P6,pctile.text.EJ.PCT.proximity.rmp.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
T_PTSDF,pctile.text.proximity.tsdf,NA,Environmental,Map popup text for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
T_PTSDF_D2,pctile.text.EJ.DISPARITY.proximity.tsdf.eo,NA,EJ,Map popup text for EJ Index for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
T_PTSDF_D6,pctile.text.EJ.DISPARITY.proximity.tsdf.svi6,NA,EJ,Map popup text for EJ Index for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
T_PTSDF_B2,pctile.text.EJ.BURDEN.proximity.tsdf.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
T_PTSDF_B6,pctile.text.EJ.BURDEN.proximity.tsdf.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
T_PTSDF_P2,pctile.text.EJ.PCT.proximity.tsdf.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
T_PTSDF_P6,pctile.text.EJ.PCT.proximity.tsdf.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
T_OZONE,pctile.text.o3,NA,Environmental,Map popup text for Ozone level in air,NA,NA,NA
T_OZONE_D2,pctile.text.EJ.DISPARITY.o3.eo,NA,EJ,Map popup text for EJ Index for Ozone level in air,NA,NA,NA
T_OZONE_D6,pctile.text.EJ.DISPARITY.o3.svi6,NA,EJ,Map popup text for EJ Index for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
T_OZONE_B2,pctile.text.EJ.BURDEN.o3.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for Ozone level in air,NA,NA,NA
T_OZONE_B6,pctile.text.EJ.BURDEN.o3.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
T_OZONE_P2,pctile.text.EJ.PCT.o3.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for Ozone level in air,NA,NA,NA
T_OZONE_P6,pctile.text.EJ.PCT.o3.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
T_PM25,pctile.text.pm,NA,Environmental,Map popup text for PM2.5 level in air,NA,NA,NA
T_PM25_D2,pctile.text.EJ.DISPARITY.pm.eo,NA,EJ,Map popup text for EJ Index for PM2.5 level in air,NA,NA,NA
T_PM25_D6,pctile.text.EJ.DISPARITY.pm.svi6,NA,EJ,Map popup text for EJ Index for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
T_PM25_B2,pctile.text.EJ.BURDEN.pm.eo,NA,EJ,Map popup text for Supplementary EJ Index 1 for PM2.5 level in air,NA,NA,NA
T_PM25_B6,pctile.text.EJ.BURDEN.pm.svi6,NA,EJ,Map popup text for Supplementary EJ Index 1 for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
T_PM25_P2,pctile.text.EJ.PCT.pm.eo,NA,EJ,Map popup text for Supplementary EJ Index 2 for PM2.5 level in air,NA,NA,NA
T_PM25_P6,pctile.text.EJ.PCT.pm.svi6,NA,EJ,Map popup text for Supplementary EJ Index 2 for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
