OBJECTID,REGION,PCTILE,MINORPCT,LOWINCPCT,LESSHSPCT,LINGISOPCT,UNDER5PCT,OVER64PCT,PRE1960PCT,UNEMPPCT,VULEOPCT,DSLPM,CANCER,RESP,PTRAF,PWDIS,PNPL,PRMP,PTSDF,OZONE,PM25,UST,D_LDPNT_2,D_DSLPM_2,D_CANCR_2,D_RESP_2,D_PTRAF_2,D_PWDIS_2,D_PNPL_2,D_PRMP_2,D_PTSDF_2,D_OZONE_2,D_PM25_2,D_UST_2
37,USA,36,0.197029383601496,0.201525426998619,0.059475994703240,0.000000000000000,0.044275301898631,0.114363261555654,0.080686667103970,0.029201103675940,0.223543679234596,0.187598646849084,20.754350221652398,0.265221970987957,112.342705567764000,0.000187109391876,0.041299295470577,0.189884500518847,0.277323279232340,40.648350765350600,8.097174827787420,0.483214863775337,-18.112295199009900,-35.011831441521899,-4897.438728231920322,-60.255444621754002,-17323.691708696798742,-0.046966614935426,-8.422982829447390,-39.963214161225999,-56.488573743890797,-8182.587848931790177,-1605.779195565409964,-60.492804479028102
38,USA,37,0.204120269719907,0.206671520334668,0.061402749404548,0.000000000000000,0.045153577519206,0.116377998496768,0.085606436368023,0.030091512326044,0.228411016244528,0.191189421768298,20.947963805262400,0.268234735411868,118.324127529191003,0.000214245257334,0.042615639097273,0.194887748999455,0.296727173707026,40.810888987727900,8.132646335603811,0.528681582966520,-16.540899192431102,-33.061825446264301,-4689.979881909610413,-57.593763086724401,-15635.517729552500896,-0.037538852975162,-7.868646950203930,-37.516001509006301,-51.911372687711200,-7864.527709289070117,-1541.207608147640030,-51.443387045978199
39,USA,38,0.211770112991200,0.211764179917406,0.063263166732904,0.000000000000000,0.046022316008540,0.118340375214529,0.090812665388312,0.030969662288149,0.233277723737421,0.195084647873163,21.141577388872399,0.271247499835779,124.939407427779003,0.000245046548260,0.044007412197009,0.200342579453810,0.318241864358001,40.949469243807499,8.166754692604750,0.569197848898707,-14.853286481241099,-31.129617219224802,-4492.559641476060278,-55.126286462875200,-14109.264098551899224,-0.030041812215619,-7.347953606706560,-35.139303676186401,-47.483581965398500,-7551.946298938440123,-1477.661985853889973,-42.896045811756402
40,USA,39,0.219241713900840,0.216929567828448,0.065171091694196,0.000000000000000,0.046869622470828,0.120372829108823,0.096327107170457,0.031868050863961,0.238288819583587,0.198913754921615,21.335190972482501,0.274260264259689,131.363220158797986,0.000279076892286,0.045337454666894,0.205941251858645,0.342868896837365,41.101746619255103,8.200650408736641,0.616455541794735,-13.410927966140800,-29.244232611531700,-4285.311840760099585,-52.594737821103898,-12626.399492522499713,-0.024050369097689,-6.828550330046370,-32.839361422730100,-43.502814513539498,-7230.709644497879708,-1413.811585301290052,-35.400686415385600
41,USA,40,0.227323160809239,0.222041515497016,0.067108702830974,0.000000000000000,0.047748037496155,0.122279690715078,0.101790488922390,0.032731295415260,0.243347539074611,0.202773392354214,21.528804556092499,0.277273028683600,138.133143692636992,0.000319963686607,0.046665925647768,0.212281752518277,0.369380653377551,41.254377907350502,8.234216626073049,0.664802098467410,-11.957358800137399,-27.534634299986500,-4093.389073841939990,-50.119680539071297,-11312.247319731399330,-0.019297745223594,-6.347253772068270,-30.678636503141998,-39.613801705001499,-6900.844006778510447,-1351.442789128379900,-28.518902674381899
42,USA,41,0.235428681097491,0.227189299258091,0.069070442940745,0.000000000000000,0.048620159364077,0.124337871516437,0.107404602421270,0.033669068962020,0.248714713286924,0.206600062902891,21.722418139702601,0.280285793107511,144.993177187457007,0.000361992775415,0.048019648387873,0.219266173235228,0.397093796906210,41.398100670161902,8.270513687534910,0.715645238039633,-10.634519200352100,-25.833066729521700,-3894.567874780329930,-47.603704993059701,-10012.521676632899471,-0.015387390129932,-5.891041296693660,-28.606896816116102,-36.059746925338303,-6579.519351290219674,-1289.392188618059890,-22.426960302899300
43,USA,42,0.243686239714144,0.232440084039072,0.071038657142231,0.000000000000000,0.049496177025504,0.126259711121257,0.113386936284586,0.034570856332161,0.253996425369005,0.210350418883872,21.916031723312599,0.283298557531422,152.093176689915992,0.000408959403957,0.049472161868019,0.226678022920711,0.428364449410445,41.478621785950999,8.309334309706840,0.770591973344611,-9.424989502826451,-24.200405620523501,-3695.938939238899820,-45.092528498370001,-8804.757727118440016,-0.012024347834353,-5.450865417349650,-26.631747119673101,-32.584212508330403,-6257.888894967600208,-1225.941022309129949,-17.163522783544199
44,USA,43,0.252193955212884,0.237690534600639,0.073090220387542,0.000000000000000,0.050368797673785,0.128326077849197,0.119455278673934,0.035529286862289,0.259472238224871,0.214157992712907,22.109645306922701,0.286311321955333,159.697893168115002,0.000464517334716,0.050888612859365,0.234742125094800,0.460745588211433,41.556611642031903,8.348792724027470,0.824103332844070,-8.279524733938221,-22.485771516822201,-3495.768058172900055,-42.706949925300400,-7691.795304188210139,-0.009292058006915,-5.028143594785520,-24.726937755273799,-29.422362418419599,-5936.616247127530187,-1164.085469641499913,-12.570447195559501
45,USA,44,0.260910020753489,0.242975510909217,0.075124811916868,0.000000000000000,0.051244628521232,0.130229425008933,0.125993490222355,0.036435343278360,0.264835147971128,0.218030203084560,22.303258890532700,0.289324086379243,167.915993109193010,0.000522049480192,0.052282373088055,0.244038055120211,0.491245238499057,41.647716876546298,8.387227561067590,0.878208684011285,-7.136417951882040,-20.857012076795300,-3297.525370144010139,-40.375803299932997,-6667.064654365979550,-0.007150444451251,-4.631581648518900,-22.835319632022902,-26.345573869695400,-5621.481846540070364,-1104.242598650260106,-8.586919233433580
46,USA,45,0.269613488240371,0.248199207672422,0.077298493523727,0.000000000000000,0.052081701669370,0.132136678683468,0.132709808588768,0.037374862400687,0.270355015504865,0.221966632065608,22.496872474142801,0.292336850803154,176.156640367341993,0.000590925152827,0.053768529966720,0.253641125273604,0.522678459398463,41.740281979329801,8.425460414591670,0.936618809767671,-6.117458149262200,-19.319832429062402,-3101.953418722940114,-37.969643551809000,-5746.293867454650353,-0.005365674011091,-4.240531770082220,-21.007119606705899,-23.599019173645701,-5301.982641460969717,-1041.104471157349963,-5.409957982514910
